video_frame,video_seconds,source_row,source_snapshot_index,offset_M,camera_azimuth_A_deg,chapter
376,18.8,1483,1483,6.218120061647369,-58.0,evolution
377,18.85,1483,1483,6.218120061647369,-58.0,evolution
378,18.9,1483,1483,6.218120061647369,-58.0,evolution
379,18.95,1483,1483,6.218120061647369,-58.0,evolution
380,19.0,1484,1484,6.277089177858215,-58.0,evolution
381,19.05,1484,1484,6.277089177858215,-58.0,evolution
382,19.1,1484,1484,6.277089177858215,-58.0,evolution
383,19.15,1485,1485,6.336647893678673,-58.0,evolution
384,19.2,1485,1485,6.336647893678673,-58.0,evolution
385,19.25,1485,1485,6.336647893678673,-58.0,evolution
386,19.3,1485,1485,6.336647893678673,-58.0,evolution
387,19.35,1486,1486,6.396802617799949,-58.0,evolution
388,19.4,1486,1486,6.396802617799949,-58.0,evolution
389,19.45,1486,1486,6.396802617799949,-58.0,evolution
390,19.5,1487,1487,6.457558843385868,-58.0,evolution
391,19.55,1487,1487,6.457558843385868,-58.0,evolution
392,19.6,1487,1487,6.457558843385868,-58.0,evolution
393,19.65,1487,1487,6.457558843385868,-58.0,evolution
394,19.7,1488,1488,6.518922521364402,-58.0,evolution
395,19.75,1488,1488,6.518922521364402,-58.0,evolution
396,19.8,1488,1488,6.518922521364402,-58.0,evolution
397,19.85,1488,1488,6.518922521364402,-58.0,evolution
398,19.9,1489,1489,6.580899602663067,-58.0,evolution
399,19.95,1489,1489,6.580899602663067,-58.0,evolution
400,20.0,1489,1489,6.580899602663067,-58.0,evolution
401,20.05,1489,1489,6.580899602663067,-58.0,evolution
402,20.1,1490,1490,6.6434964959735225,-58.0,evolution
403,20.15,1490,1490,6.6434964959735225,-58.0,evolution
404,20.2,1490,1490,6.6434964959735225,-58.0,evolution
405,20.25,1491,1491,6.706719609987431,-58.0,evolution
406,20.3,1491,1491,6.706719609987431,-58.0,evolution
407,20.35,1491,1491,6.706719609987431,-58.0,evolution
408,20.4,1491,1491,6.706719609987431,-58.0,evolution
409,20.45,1492,1492,6.770574895631853,-58.0,evolution
410,20.5,1492,1492,6.770574895631853,-58.0,evolution
411,20.55,1492,1492,6.770574895631853,-58.0,evolution
412,20.6,1492,1492,6.770574895631853,-58.0,evolution
413,20.65,1493,1493,6.834481450807743,-58.0,evolution
414,20.7,1493,1493,6.834481450807743,-58.0,evolution
415,20.75,1493,1493,6.834481450807743,-58.0,evolution
416,20.8,1493,1493,6.834481450807743,-58.0,evolution
417,20.85,1494,1494,6.898388005983179,-58.0,evolution
418,20.9,1494,1494,6.898388005983179,-58.0,evolution
419,20.95,1494,1494,6.898388005983179,-58.0,evolution
420,21.0,1494,1494,6.898388005983179,-58.0,evolution
421,21.05,1495,1495,6.962294561159069,-58.0,evolution
422,21.1,1495,1495,6.962294561159069,-58.0,evolution
423,21.15,1495,1495,6.962294561159069,-58.0,evolution
424,21.2,1495,1495,6.962294561159069,-58.0,evolution
425,21.25,1496,1496,7.02620111633496,-58.0,evolution
426,21.3,1496,1496,7.02620111633496,-58.0,evolution
427,21.35,1496,1496,7.02620111633496,-58.0,evolution
428,21.4,1496,1496,7.02620111633496,-58.0,evolution
429,21.45,1497,1497,7.09010767151085,-58.0,evolution
430,21.5,1497,1497,7.09010767151085,-58.0,evolution
431,21.55,1497,1497,7.09010767151085,-58.0,evolution
432,21.6,1498,1498,7.154014226686286,-58.0,evolution
433,21.65,1498,1498,7.154014226686286,-58.0,evolution
434,21.7,1498,1498,7.154014226686286,-58.0,evolution
435,21.75,1498,1498,7.154014226686286,-58.0,evolution
436,21.8,1499,1499,7.217920781862176,-58.0,evolution
437,21.85,1499,1499,7.217920781862176,-58.0,evolution
438,21.9,1499,1499,7.217920781862176,-58.0,evolution
439,21.95,1499,1499,7.217920781862176,-58.0,evolution
440,22.0,1500,1500,7.281827337038067,-58.0,evolution
441,22.05,1500,1500,7.281827337038067,-58.0,evolution
442,22.1,1500,1500,7.281827337038067,-58.0,evolution
443,22.15,1500,1500,7.281827337038067,-58.0,evolution
444,22.2,1501,1501,7.345733892213957,-58.0,evolution
445,22.25,1501,1501,7.345733892213957,-58.0,evolution
446,22.3,1501,1501,7.345733892213957,-58.0,evolution
447,22.35,1501,1501,7.345733892213957,-58.0,evolution
448,22.4,1502,1502,7.409640447389847,-58.0,evolution
449,22.45,1502,1502,7.409640447389847,-58.0,evolution
450,22.5,1502,1502,7.409640447389847,-58.0,evolution
451,22.55,1502,1502,7.409640447389847,-58.0,evolution
452,22.6,1503,1503,7.473547002565283,-58.0,evolution
453,22.65,1503,1503,7.473547002565283,-58.0,evolution
454,22.7,1503,1503,7.473547002565283,-58.0,evolution
455,22.75,1503,1503,7.473547002565283,-58.0,evolution
456,22.8,1504,1504,7.537453557741173,-58.0,evolution
457,22.85,1504,1504,7.537453557741173,-58.0,evolution
458,22.9,1504,1504,7.537453557741173,-58.0,evolution
459,22.95,1504,1504,7.537453557741173,-58.0,evolution
460,23.0,1505,1505,7.601360112917064,-58.0,evolution
461,23.05,1505,1505,7.601360112917064,-58.0,evolution
462,23.1,1505,1505,7.601360112917064,-58.0,evolution
463,23.15,1506,1506,7.665266668092954,-58.0,evolution
464,23.2,1506,1506,7.665266668092954,-58.0,evolution
465,23.25,1506,1506,7.665266668092954,-58.0,evolution
466,23.3,1506,1506,7.665266668092954,-58.0,evolution
467,23.35,1507,1507,7.72917322326839,-58.0,evolution
468,23.4,1507,1507,7.72917322326839,-58.0,evolution
469,23.45,1507,1507,7.72917322326839,-58.0,evolution
470,23.5,1507,1507,7.72917322326839,-58.0,evolution
471,23.55,1508,1508,7.79307977844428,-58.0,evolution
472,23.6,1508,1508,7.79307977844428,-58.0,evolution
